"iso","model","tas"
"IT-CE","CMCC-CM2-SR5",18.5832502027936
"IT-CH","CMCC-CM2-SR5",16.6598760408181
"IT-CI","CMCC-CM2-SR5",19.1357097160051
"IT-CL","CMCC-CM2-SR5",20.0948717687581
"IT-CN","CMCC-CM2-SR5",12.6523903867295
"IT-CO","CMCC-CM2-SR5",14.3734717530178
"IT-CR","CMCC-CM2-SR5",18.7556094746212
"IT-CS","CMCC-CM2-SR5",16.7582147711286
"IT-CT","CMCC-CM2-SR5",18.4692886462702
"IT-CZ","CMCC-CM2-SR5",17.3927856317833
"IT-EN","CMCC-CM2-SR5",19.1218887510152
"IT-FC","CMCC-CM2-SR5",16.0914345866029
"IT-FE","CMCC-CM2-SR5",18.7476087397725
"IT-FG","CMCC-CM2-SR5",19.279584294521
"IT-FI","CMCC-CM2-SR5",16.224248885911
"IT-FM","CMCC-CM2-SR5",17.1859147380668
"IT-FR","CMCC-CM2-SR5",16.8853149847783
"IT-GE","CMCC-CM2-SR5",14.6241791332657
"IT-GO","CMCC-CM2-SR5",18.2926653682436
"IT-GR","CMCC-CM2-SR5",17.81407210407
"IT-IM","CMCC-CM2-SR5",14.9998585633363
"IT-IS","CMCC-CM2-SR5",14.4508673345426
"IT-KR","CMCC-CM2-SR5",19.7238576954049
"IT-LC","CMCC-CM2-SR5",13.8878894152411
"IT-LE","CMCC-CM2-SR5",20.1425463727407
"IT-LI","CMCC-CM2-SR5",18.6709675751442
"IT-LO","CMCC-CM2-SR5",18.6462878386591
"IT-LT","CMCC-CM2-SR5",19.1044331799932
"IT-LU","CMCC-CM2-SR5",15.1534967233781
"IT-MB","CMCC-CM2-SR5",18.2329280271449
"IT-MC","CMCC-CM2-SR5",15.8359520837931
"IT-ME","CMCC-CM2-SR5",17.2090467873643
"IT-MI","CMCC-CM2-SR5",18.729322558645
"IT-MN","CMCC-CM2-SR5",19.0008361734294
"IT-MO","CMCC-CM2-SR5",16.4225567095197
"IT-MS","CMCC-CM2-SR5",14.8350949041421
"IT-MT","CMCC-CM2-SR5",19.4312785859412
"IT-NA","CMCC-CM2-SR5",20.0874102292626
"IT-NO","CMCC-CM2-SR5",17.7263386114383
"IT-NU","CMCC-CM2-SR5",17.7479078698274
