"iso","model","tas"
"IT-CE","CMCC-CM2-SR5",20.7898143706323
"IT-CH","CMCC-CM2-SR5",18.9543541932787
"IT-CI","CMCC-CM2-SR5",21.9750566808565
"IT-CL","CMCC-CM2-SR5",22.8487725155502
"IT-CN","CMCC-CM2-SR5",14.6630182829791
"IT-CO","CMCC-CM2-SR5",15.964536115922
"IT-CR","CMCC-CM2-SR5",20.7362268969905
"IT-CS","CMCC-CM2-SR5",19.6237846607222
"IT-CT","CMCC-CM2-SR5",21.4318247783019
"IT-CZ","CMCC-CM2-SR5",19.9794677481763
"IT-EN","CMCC-CM2-SR5",22.1404021275142
"IT-FC","CMCC-CM2-SR5",17.9656528672885
"IT-FE","CMCC-CM2-SR5",20.6109523769356
"IT-FG","CMCC-CM2-SR5",21.694518065579
"IT-FI","CMCC-CM2-SR5",18.1400042264285
"IT-FM","CMCC-CM2-SR5",19.3790638676172
"IT-FR","CMCC-CM2-SR5",19.2719082490326
"IT-GE","CMCC-CM2-SR5",16.5507706604255
"IT-GO","CMCC-CM2-SR5",20.1893708549802
"IT-GR","CMCC-CM2-SR5",20.0591038390989
"IT-IM","CMCC-CM2-SR5",17.2090672728963
"IT-IS","CMCC-CM2-SR5",16.6912325908163
"IT-KR","CMCC-CM2-SR5",22.4910560366924
"IT-LC","CMCC-CM2-SR5",15.5579077368383
"IT-LE","CMCC-CM2-SR5",22.2614644647438
"IT-LI","CMCC-CM2-SR5",20.7215496222077
"IT-LO","CMCC-CM2-SR5",20.5888198826577
"IT-LT","CMCC-CM2-SR5",21.3748143178925
"IT-LU","CMCC-CM2-SR5",17.3646777649232
"IT-MB","CMCC-CM2-SR5",19.8571295775658
"IT-MC","CMCC-CM2-SR5",18.0852303799687
"IT-ME","CMCC-CM2-SR5",20.1372118196566
"IT-MI","CMCC-CM2-SR5",20.3995202641176
"IT-MN","CMCC-CM2-SR5",20.9556998211842
"IT-MO","CMCC-CM2-SR5",18.4784170161436
"IT-MS","CMCC-CM2-SR5",17.0604029025427
"IT-MT","CMCC-CM2-SR5",21.8405154155655
"IT-NA","CMCC-CM2-SR5",22.1947070471873
"IT-NO","CMCC-CM2-SR5",19.3913201805034
"IT-NU","CMCC-CM2-SR5",20.8967569707673
"IT-OG","CMCC-CM2-SR5",20.6864480335805
"IT-OR","CMCC-CM2-SR5",21.9970516412435
"IT-OT","CMCC-CM2-SR5",21.2778907235557
"IT-PA","CMCC-CM2-SR5",21.7560003960181
"IT-PC","CMCC-CM2-SR5",18.2855114354879
"IT-PD","CMCC-CM2-SR5",20.6057810107212
"IT-PE","CMCC-CM2-SR5",18.6776366985509
"IT-PG","CMCC-CM2-SR5",17.8968044398444
"IT-PI","CMCC-CM2-SR5",19.9716435158453
"IT-PN","CMCC-CM2-SR5",17.4320706269711
"IT-PO","CMCC-CM2-SR5",18.0805767557808
"IT-PR","CMCC-CM2-SR5",17.666163357684
"IT-PT","CMCC-CM2-SR5",17.3847803759372
"IT-PU","CMCC-CM2-SR5",18.6254278360265
"IT-PV","CMCC-CM2-SR5",19.8877700686904
"IT-PZ","CMCC-CM2-SR5",18.3561198934095
"IT-RA","CMCC-CM2-SR5",19.9419752251045
"IT-RC","CMCC-CM2-SR5",20.6067803436906
"IT-RE","CMCC-CM2-SR5",18.3333442579878
"IT-RG","CMCC-CM2-SR5",22.5118079562486
"IT-RI","CMCC-CM2-SR5",16.4074321570332
"IT-RM","CMCC-CM2-SR5",20.4708219581455
"IT-RN","CMCC-CM2-SR5",18.86273976144
"IT-RO","CMCC-CM2-SR5",20.7105727967946
"IT-SA","CMCC-CM2-SR5",19.7466746882336
"IT-SI","CMCC-CM2-SR5",18.8067606556474
"IT-SO","CMCC-CM2-SR5",8.43224836881177
"IT-SP","CMCC-CM2-SR5",18.2773927393693
"IT-SR","CMCC-CM2-SR5",23.1439516743707
"IT-SS","CMCC-CM2-SR5",21.4906937867247
"IT-SV","CMCC-CM2-SR5",17.4870293338301
"IT-TA","CMCC-CM2-SR5",21.5372527257773
"IT-TE","CMCC-CM2-SR5",18.0330617469961
"IT-TN","CMCC-CM2-SR5",11.0722662464974
"IT-TO","CMCC-CM2-SR5",14.4161442237861
"IT-TP","CMCC-CM2-SR5",23.3861080935049
"IT-TR","CMCC-CM2-SR5",18.9543231268302
"IT-TS","CMCC-CM2-SR5",19.1989105968702
"IT-TV","CMCC-CM2-SR5",19.7131210835659
"IT-UD","CMCC-CM2-SR5",16.4215891915967
"IT-VA","CMCC-CM2-SR5",18.4832955014764
"IT-VB","CMCC-CM2-SR5",11.5761405375194
"IT-VC","CMCC-CM2-SR5",16.6874249021769
"IT-VE","CMCC-CM2-SR5",20.2081778662239
"IT-VI","CMCC-CM2-SR5",17.480919977183
"IT-VR","CMCC-CM2-SR5",19.5265979659323
"IT-VS","CMCC-CM2-SR5",22.2335260644031
"IT-VT","CMCC-CM2-SR5",20.1858488757735
"IT-VV","CMCC-CM2-SR5",19.5596958747732
"IT-AG","CNRM-ESM2-1",22.5165284037859
"IT-AL","CNRM-ESM2-1",18.6685836762336
"IT-AN","CNRM-ESM2-1",20.3813713400239
"IT-AO","CNRM-ESM2-1",6.98867557366875
"IT-AP","CNRM-ESM2-1",17.982406012957
"IT-AQ","CNRM-ESM2-1",14.5632858942206
"IT-AR","CNRM-ESM2-1",17.5422627451466
"IT-AT","CNRM-ESM2-1",19.0052024663732
"IT-AV","CNRM-ESM2-1",18.934466374739
"IT-BA","CNRM-ESM2-1",21.2886473354036
"IT-BG","CNRM-ESM2-1",15.3397493365368
"IT-BI","CNRM-ESM2-1",16.4476730141584
"IT-BL","CNRM-ESM2-1",11.6751335986505
"IT-BN","CNRM-ESM2-1",19.694626520023
"IT-BO","CNRM-ESM2-1",19.4006111663657
"IT-BR","CNRM-ESM2-1",21.6752281711807
"IT-BS","CNRM-ESM2-1",16.2149643343031
"IT-BT","CNRM-ESM2-1",22.2613276003603
"IT-BZ","CNRM-ESM2-1",9.09359754067272
"IT-CA","CNRM-ESM2-1",21.5164212005456
"IT-CB","CNRM-ESM2-1",20.1542780327568
"IT-CE","CNRM-ESM2-1",20.8554433543559
"IT-CH","CNRM-ESM2-1",19.1191160198168
"IT-CI","CNRM-ESM2-1",21.228448560162
"IT-CL","CNRM-ESM2-1",22.6127963156063
"IT-CN","CNRM-ESM2-1",14.5145213198493
"IT-CO","CNRM-ESM2-1",16.2320053708735
"IT-CR","CNRM-ESM2-1",20.7959588325602
"IT-CS","CNRM-ESM2-1",19.5488398340065
"IT-CT","CNRM-ESM2-1",21.1098427587616
"IT-CZ","CNRM-ESM2-1",19.8309717946018
"IT-EN","CNRM-ESM2-1",21.8271434292265
"IT-FC","CNRM-ESM2-1",18.1506857840629
"IT-FE","CNRM-ESM2-1",20.9049568509059
"IT-FG","CNRM-ESM2-1",22.1199130972454
"IT-FI","CNRM-ESM2-1",18.1792743743217
"IT-FM","CNRM-ESM2-1",19.533498425288
"IT-FR","CNRM-ESM2-1",19.3495535384425
"IT-GE","CNRM-ESM2-1",16.1788991961817
"IT-GO","CNRM-ESM2-1",20.2937474293869
"IT-GR","CNRM-ESM2-1",20.1061100150604
"IT-IM","CNRM-ESM2-1",16.7106312722011
"IT-IS","CNRM-ESM2-1",16.8827981335851
"IT-KR","CNRM-ESM2-1",22.3755740817692
"IT-LC","CNRM-ESM2-1",15.8117514041774
"IT-LE","CNRM-ESM2-1",22.2794686951122
"IT-LI","CNRM-ESM2-1",20.471968347517
"IT-LO","CNRM-ESM2-1",20.5832198896858
"IT-LT","CNRM-ESM2-1",21.2583159070227
"IT-LU","CNRM-ESM2-1",17.0036300020199
"IT-MB","CNRM-ESM2-1",20.1164826112648
"IT-MC","CNRM-ESM2-1",18.3578480346272
"IT-ME","CNRM-ESM2-1",19.7572168929479
"IT-MI","CNRM-ESM2-1",20.5961473121077
"IT-MN","CNRM-ESM2-1",21.278599347575
"IT-MO","CNRM-ESM2-1",18.6604748309659
"IT-MS","CNRM-ESM2-1",16.6297018978238
"IT-MT","CNRM-ESM2-1",22.1174861730628
"IT-NA","CNRM-ESM2-1",22.2696065257181
"IT-NO","CNRM-ESM2-1",19.6332653055024
"IT-NU","CNRM-ESM2-1",20.1582590279163
"IT-OG","CNRM-ESM2-1",19.8053717830728
"IT-OR","CNRM-ESM2-1",21.3469786106166
"IT-OT","CNRM-ESM2-1",20.6797435701936
"IT-PA","CNRM-ESM2-1",21.242356132993
"IT-PC","CNRM-ESM2-1",18.1069604054057
"IT-PD","CNRM-ESM2-1",21.0501023156426
"IT-PE","CNRM-ESM2-1",18.8325187523211
"IT-PG","CNRM-ESM2-1",18.3236612120698
"IT-PI","CNRM-ESM2-1",19.7479388297781
"IT-PN","CNRM-ESM2-1",17.712822306822
"IT-PO","CNRM-ESM2-1",18.0715166549413
"IT-PR","CNRM-ESM2-1",17.5065138043499
"IT-PT","CNRM-ESM2-1",17.2497798013125
"IT-PU","CNRM-ESM2-1",19.0026914441637
"IT-PV","CNRM-ESM2-1",19.8474160421277
"IT-PZ","CNRM-ESM2-1",18.6399207370344
"IT-RA","CNRM-ESM2-1",20.1026621312257
"IT-RC","CNRM-ESM2-1",20.2916580296483
"IT-RE","CNRM-ESM2-1",18.3666423574087
"IT-RG","CNRM-ESM2-1",22.2545486024542
"IT-RI","CNRM-ESM2-1",16.6762182760133
"IT-RM","CNRM-ESM2-1",20.5783395369375
"IT-RN","CNRM-ESM2-1",19.1476433067234
"IT-RO","CNRM-ESM2-1",21.0272540630898
"IT-SA","CNRM-ESM2-1",19.9010408163431
"IT-SI","CNRM-ESM2-1",18.9544795183578
"IT-SO","CNRM-ESM2-1",8.53461932131769
"IT-SP","CNRM-ESM2-1",17.7787401710071
"IT-SR","CNRM-ESM2-1",22.8831769958766
"IT-SS","CNRM-ESM2-1",20.8940627211455
"IT-SV","CNRM-ESM2-1",17.1003487152342
"IT-TA","CNRM-ESM2-1",21.6428469346478
"IT-TE","CNRM-ESM2-1",18.1616188263152
"IT-TN","CNRM-ESM2-1",11.3343973030781
"IT-TO","CNRM-ESM2-1",14.4711095255045
"IT-TP","CNRM-ESM2-1",22.7406028909605
"IT-TR","CNRM-ESM2-1",19.3087963546799
"IT-TS","CNRM-ESM2-1",19.2374356415447
"IT-TV","CNRM-ESM2-1",20.1575216798566
"IT-UD","CNRM-ESM2-1",16.5609760402343
"IT-VA","CNRM-ESM2-1",18.7861794864032
"IT-VB","CNRM-ESM2-1",11.6893380819646
"IT-VC","CNRM-ESM2-1",16.807628853735
"IT-VE","CNRM-ESM2-1",20.5380845224003
"IT-VI","CNRM-ESM2-1",17.9352584346415
"IT-VR","CNRM-ESM2-1",19.9433839597384
"IT-VS","CNRM-ESM2-1",21.546327134883
"IT-VT","CNRM-ESM2-1",20.369928507672
"IT-VV","CNRM-ESM2-1",19.2988818180671
"IT-AG","EC-Earth3-Veg",22.1208486570402
"IT-AL","EC-Earth3-Veg",18.7662986753873
"IT-AN","EC-Earth3-Veg",19.6700569058059
"IT-AO","EC-Earth3-Veg",6.86840173373198
"IT-AP","EC-Earth3-Veg",17.2330363874983
"IT-AQ","EC-Earth3-Veg",13.8393384086619
"IT-AR","EC-Earth3-Veg",16.982100316625
"IT-AT","EC-Earth3-Veg",19.0887658867724
"IT-AV","EC-Earth3-Veg",18.1740499089354
"IT-BA","EC-Earth3-Veg",20.6968912259075
"IT-BG","EC-Earth3-Veg",15.1367431334789
"IT-BI","EC-Earth3-Veg",16.4116218669357
"IT-BL","EC-Earth3-Veg",11.2483333176603
"IT-BN","EC-Earth3-Veg",18.9435785348931
"IT-BO","EC-Earth3-Veg",19.0638443185987
"IT-BR","EC-Earth3-Veg",21.6066333339442
"IT-BS","EC-Earth3-Veg",15.9246635674882
"IT-BT","EC-Earth3-Veg",21.5040221905922
"IT-BZ","EC-Earth3-Veg",8.66545660422803
"IT-CA","EC-Earth3-Veg",21.8765997776927
"IT-CB","EC-Earth3-Veg",19.3632425081866
"IT-CE","EC-Earth3-Veg",20.3083940158961
"IT-CH","EC-Earth3-Veg",18.5067941789213
"IT-CI","EC-Earth3-Veg",21.9719740587375
"IT-CL","EC-Earth3-Veg",22.2066496357666
"IT-CN","EC-Earth3-Veg",14.5625848956116
"IT-CO","EC-Earth3-Veg",16.0571028737184
"IT-CR","EC-Earth3-Veg",20.6194918516909
"IT-CS","EC-Earth3-Veg",19.244574894074
"IT-CT","EC-Earth3-Veg",20.766432617173
"IT-CZ","EC-Earth3-Veg",19.6175600651462
"IT-EN","EC-Earth3-Veg",21.2998893283069
"IT-FC","EC-Earth3-Veg",17.6982362062025
"IT-FE","EC-Earth3-Veg",20.4989453795315
"IT-FG","EC-Earth3-Veg",21.3474610641106
"IT-FI","EC-Earth3-Veg",17.8666117845869
"IT-FM","EC-Earth3-Veg",18.8360275698545
"IT-FR","EC-Earth3-Veg",18.7632116097567
"IT-GE","EC-Earth3-Veg",16.3789695083434
"IT-GO","EC-Earth3-Veg",19.9206566209054
"IT-GR","EC-Earth3-Veg",19.7227162166991
"IT-IM","EC-Earth3-Veg",17.0365741076447
"IT-IS","EC-Earth3-Veg",16.1692248454139
"IT-KR","EC-Earth3-Veg",22.1425277400199
"IT-LC","EC-Earth3-Veg",15.6234923329759
"IT-LE","EC-Earth3-Veg",22.3248216113565
"IT-LI","EC-Earth3-Veg",20.3818667672773
"IT-LO","EC-Earth3-Veg",20.4583159874011
"IT-LT","EC-Earth3-Veg",20.9535856791187
"IT-LU","EC-Earth3-Veg",16.9879461662996
"IT-MB","EC-Earth3-Veg",19.9845870824991
"IT-MC","EC-Earth3-Veg",17.5335015128793
"IT-ME","EC-Earth3-Veg",19.4648599999195
"IT-MI","EC-Earth3-Veg",20.4928102878021
"IT-MN","EC-Earth3-Veg",20.9254234474079
"IT-MO","EC-Earth3-Veg",18.3830864996095
"IT-MS","EC-Earth3-Veg",16.7402598772337
"IT-MT","EC-Earth3-Veg",21.4921295097704
"IT-NA","EC-Earth3-Veg",21.8264780122912
"IT-NO","EC-Earth3-Veg",19.5745715851449
"IT-NU","EC-Earth3-Veg",20.1366994194311
"IT-OG","EC-Earth3-Veg",19.9689729959554
"IT-OR","EC-Earth3-Veg",21.4912122501358
"IT-OT","EC-Earth3-Veg",20.9240385135901
"IT-PA","EC-Earth3-Veg",20.8651677825746
"IT-PC","EC-Earth3-Veg",18.0862339595237
"IT-PD","EC-Earth3-Veg",20.5925698646906
"IT-PE","EC-Earth3-Veg",18.2061955260792
"IT-PG","EC-Earth3-Veg",17.4931644823619
"IT-PI","EC-Earth3-Veg",19.568350862248
"IT-PN","EC-Earth3-Veg",17.2690953868499
"IT-PO","EC-Earth3-Veg",17.8307337211402
"IT-PR","EC-Earth3-Veg",17.4434454837571
"IT-PT","EC-Earth3-Veg",17.0747884564823
"IT-PU","EC-Earth3-Veg",18.2871433767888
"IT-PV","EC-Earth3-Veg",19.816568724344
"IT-PZ","EC-Earth3-Veg",17.977989785416
"IT-RA","EC-Earth3-Veg",19.7222649533476
"IT-RC","EC-Earth3-Veg",20.0977021248774
"IT-RE","EC-Earth3-Veg",18.167228242577
"IT-RG","EC-Earth3-Veg",22.3570036349512
"IT-RI","EC-Earth3-Veg",15.9186667808625
"IT-RM","EC-Earth3-Veg",20.1196364396202
"IT-RN","EC-Earth3-Veg",18.5789143462829
"IT-RO","EC-Earth3-Veg",20.6289603427554
"IT-SA","EC-Earth3-Veg",19.3676510351552
"IT-SI","EC-Earth3-Veg",18.4312774129448
"IT-SO","EC-Earth3-Veg",8.19097080864595
"IT-SP","EC-Earth3-Veg",17.9926433268668
"IT-SR","EC-Earth3-Veg",22.9127475068506
"IT-SS","EC-Earth3-Veg",21.0440408055727
"IT-SV","EC-Earth3-Veg",17.3839219671092
"IT-TA","EC-Earth3-Veg",21.3743692240184
"IT-TE","EC-Earth3-Veg",17.4988172334377
"IT-TN","EC-Earth3-Veg",10.8873461608204
"IT-TO","EC-Earth3-Veg",14.4064033018296
"IT-TP","EC-Earth3-Veg",22.7685051986387
"IT-TR","EC-Earth3-Veg",18.5544822178433
"IT-TS","EC-Earth3-Veg",18.9074449748453
"IT-TV","EC-Earth3-Veg",19.715485029544
"IT-UD","EC-Earth3-Veg",16.1479263909495
"IT-VA","EC-Earth3-Veg",18.6663508627639
"IT-VB","EC-Earth3-Veg",11.5065295506899
"IT-VC","EC-Earth3-Veg",16.7600226771003
"IT-VE","EC-Earth3-Veg",20.1955265751623
"IT-VI","EC-Earth3-Veg",17.4488121908501
"IT-VR","EC-Earth3-Veg",19.498381251042
"IT-VS","EC-Earth3-Veg",21.880191599621
"IT-VT","EC-Earth3-Veg",19.805475470488
"IT-VV","EC-Earth3-Veg",19.1368939446108
