"iso","model","tas"
"IT-CE","CMCC-CM2-SR5",15.5566121645603
"IT-CH","CMCC-CM2-SR5",13.9472610946837
"IT-CI","CMCC-CM2-SR5",17.2978231935807
"IT-CL","CMCC-CM2-SR5",17.7024630312598
"IT-CN","CMCC-CM2-SR5",8.68857058596083
"IT-CO","CMCC-CM2-SR5",10.1353342620621
"IT-CR","CMCC-CM2-SR5",13.7831414235992
"IT-CS","CMCC-CM2-SR5",14.7943616465369
"IT-CT","CMCC-CM2-SR5",16.444858628815
"IT-CZ","CMCC-CM2-SR5",15.5323141193828
"IT-EN","CMCC-CM2-SR5",16.6364178141762
"IT-FC","CMCC-CM2-SR5",12.4025853897879
"IT-FE","CMCC-CM2-SR5",14.0908344075729
"IT-FG","CMCC-CM2-SR5",16.3529135579489
"IT-FI","CMCC-CM2-SR5",12.9263018034564
"IT-FM","CMCC-CM2-SR5",13.9773830843548
"IT-FR","CMCC-CM2-SR5",13.5923569841546
"IT-GE","CMCC-CM2-SR5",11.758008738974
"IT-GO","CMCC-CM2-SR5",14.1433359605166
"IT-GR","CMCC-CM2-SR5",14.8828480377075
"IT-IM","CMCC-CM2-SR5",12.2794308637632
"IT-IS","CMCC-CM2-SR5",11.641785803012
"IT-KR","CMCC-CM2-SR5",17.3933406195064
"IT-LC","CMCC-CM2-SR5",9.72850839985672
"IT-LE","CMCC-CM2-SR5",17.7865407968733
"IT-LI","CMCC-CM2-SR5",16.0777006176216
"IT-LO","CMCC-CM2-SR5",13.7259929554887
"IT-LT","CMCC-CM2-SR5",16.0278817713966
"IT-LU","CMCC-CM2-SR5",12.3562986438344
"IT-MB","CMCC-CM2-SR5",13.2473212769778
"IT-MC","CMCC-CM2-SR5",12.7145072317334
"IT-ME","CMCC-CM2-SR5",15.8060321559624
"IT-MI","CMCC-CM2-SR5",13.6510899495563
"IT-MN","CMCC-CM2-SR5",13.9335104939755
"IT-MO","CMCC-CM2-SR5",12.1071901777398
"IT-MS","CMCC-CM2-SR5",12.1156140527124
"IT-MT","CMCC-CM2-SR5",16.2846948089611
"IT-NA","CMCC-CM2-SR5",17.2850943934159
"IT-NO","CMCC-CM2-SR5",12.6305906153219
"IT-NU","CMCC-CM2-SR5",15.5737741824374
"IT-OG","CMCC-CM2-SR5",15.5414787983482
"IT-OR","CMCC-CM2-SR5",16.8625099273865
"IT-OT","CMCC-CM2-SR5",16.4468197183661
"IT-PA","CMCC-CM2-SR5",16.8344759646777
"IT-PC","CMCC-CM2-SR5",11.9975549991603
"IT-PD","CMCC-CM2-SR5",13.8705969716582
"IT-PE","CMCC-CM2-SR5",13.5194908748881
"IT-PG","CMCC-CM2-SR5",12.4616736292917
"IT-PI","CMCC-CM2-SR5",14.8572544052131
"IT-PN","CMCC-CM2-SR5",11.0704795722981
"IT-PO","CMCC-CM2-SR5",12.8069356090986
"IT-PR","CMCC-CM2-SR5",11.5967004446503
"IT-PT","CMCC-CM2-SR5",12.2252578953791
"IT-PU","CMCC-CM2-SR5",13.121288135915
"IT-PV","CMCC-CM2-SR5",13.2850820816337
"IT-PZ","CMCC-CM2-SR5",13.2729050719776
"IT-RA","CMCC-CM2-SR5",13.7728599098403
"IT-RC","CMCC-CM2-SR5",16.1557040369544
"IT-RE","CMCC-CM2-SR5",11.9606714913724
"IT-RG","CMCC-CM2-SR5",17.8817067650788
"IT-RI","CMCC-CM2-SR5",11.2139785039398
"IT-RM","CMCC-CM2-SR5",15.1132942898408
"IT-RN","CMCC-CM2-SR5",13.2812774538491
"IT-RO","CMCC-CM2-SR5",14.3155794562735
"IT-SA","CMCC-CM2-SR5",14.8506434270032
"IT-SI","CMCC-CM2-SR5",13.3849945113413
"IT-SO","CMCC-CM2-SR5",3.01278287704117
"IT-SP","CMCC-CM2-SR5",13.397794730366
